,Sektor,Nový sektor,Názov sektoru,Autor,Názov,Edícia,Rok 1. vydania,Rok nášho vydania,Jazyk,Krajina,Beletria / Fakty,Umenie / Ine,Format,Obsah,Poznamka,Kto cital,Pre oc,Pre mam,Pre Mat,Pre Tit
1,,B1,Monografia,Karol Vaculík,Bazovský,,1965,,S,Slovensko,Fakty,Umenie,Monografie,Malba a kresba,jasne nechat,,,,,
2,,A2,Architektúra,Jiří Karbaš,České výtvarné umenie v architektúre 1945-85,,1985,,Č,Česko,Fakty,Umenie,Dejiny umenia,Architektura,jasne nechat,,,,,
3,,A4,Dizajn,,Japan - Global Design for New Look Interiors,,2000,,A,USA,Fakty,Iné,Odborná,Dizajn,jasne nechat,,,,Mata,
4,,,,,Štátna Treťjakovova galéria,,1988,,S,ZSSR,Fakty,Umenie,Odborná,Malba a kresba,jasne nechat,,,,,
5,,,,,Puškinovo múzeum,,1986,,S,ZSSR,Fakty,Umenie,Odborná,Malba a kresba,jasne nechat,,,,,
6,,,,"Ferdinand Hložník, Rudolf Fabry",Spevy slávnych dní,,1975,,S,Slovensko,Beletria,Umenie,Monografie,Malba a kresba,jasne nechat,,,,,
7,,D4,Odborná,Dušan Mikolaj,Majstri štetca,,2002,,S,Slovensko,Fakty,Umenie,Dejiny umenia,Malba a kresba,jasne nechat,,,,,
8,,D4,Odborná,,Techniky grafického umění,,1981,,Č,Česko,Fakty,Umenie,Odborná,Grafika,jasne nechat,,,,,
9,,D4,Odborná,Airkraft Galery,Alla Gloria Militar,,2010,,"A, R",Slovensko,Fakty,Umenie,Kniha katalog,Vše súčasné,jasne nechat,,,,,
10,,,,,20 Rokov Spolok Výtvarníkov Slovenska,,2013,,S,Slovensko,Fakty,Umenie,Kniha katalog,Vše súčasné,jasne nechat,,,,,
11,,K5,P. Kráľ,,Aukcia súčasného umenia,,2004,,S,"Slovensko, CZ",Fakty,Umenie,Aukcia,Kráľ,jasne nechat,,,,,
12,,K5,P. Kráľ,,Aukcia súčasného umenia,,2004,,S,"Slovensko, CZ",Fakty,Umenie,Aukcia,Kráľ,jasne nechat,,,,,
13,,H6,Aukcia,,Aukcia súčasného umenia - Máj,,2005,,S,"Slovensko, CZ",Fakty,Umenie,Aukcia,Vše súčasné,jasne nechat,,,,,
14,,H6,Aukcia,,Aukcia súčasného umenia - Október,,2005,,S,"Slovensko, CZ",Fakty,Umenie,Aukcia,Vše súčasné,jasne nechat,,,,,
15,,H3,Monografie,,Tizian,,1936,,N,Rakúsko,Fakty,Umenie,Monografie,Malba a kresba,jasne nechat,,,,,
16,,D3,Dejiny umenia,,Grafik in der DDR,,1979,,N,Nemecko,Fakty,Umenie,Dejiny umenia,Grafika,jasne nechat,,,,,
17,,D3,Dejiny umenia,,Umění po roce 1900,,2007,,Č,UK,Fakty,Umenie,Dejiny umenia,Vše súčasné,jasne nechat,,,,,
18,,B2,Monografia,,František Kupka,,1968,,Č,Česko,Fakty,Umenie,Monografie,Malba a kresba,jasne nechat,,,,,
19,,,,,Veroeffentlichte Kunst,,1993,,N,Rakúsko,Fakty,Umenie,Kniha katalog,Vše súčasné,jasne nechat,,,,,
20,,A2,Architektúra,,Art in European Architecture,,1956,,A,USA,Fakty,Umenie,Dejiny umenia,Architektura,jasne nechat,,,,,
21,,O4-O6,Detské,,Origami,,1993,,S,Nemecko,Fakty,Iné,Odborná,Detske,jasne nechat,,,,,
22,,,,,Maliarstvo USA po roku 1945,,1969,,S,USA,Fakty,Umenie,Buletiny a katalogy,Vše súčasné,jasne nechat,,,,,
23,,O2,Architektúra,,La Fondation Le Corbusier,,2005,,F,Francúzsko,Fakty,Umenie,Monografie,Architektura,jasne nechat,,,,,
24,,B2,Monografia,,Milan Lukáč,,2005,,S,Slovensko,Fakty,Umenie,Monografie,Socha,jasne nechat,,,,,
25,,D3,Dejiny umenia,,Moderná slovenská kresba,,1967,,S,Slovensko,Fakty,Umenie,Dejiny umenia,Malba a kresba,jasne nechat,,,,,
26,,,,,Danubiana Art Revue,,2008,,S,Slovensko,Fakty,Umenie,Buletiny a katalogy,Vše súčasné,jasne nechat,,,,,
27,,,,,Chirico,,2000,,Č,Česko,Fakty,Umenie,Časopis,Malba a kresba,jasne nechat,,,,,
28,,A4,Historické,,Ako sa žilo v staroveku,,1989,,S,Česko,Fakty,Iné,Odborná,Historické Dejiny,jasne nechat,,,,,
29,,A4,Historické,,Kamenní svedkovia dávnych čias,,1980,,S,UK,Fakty,Iné,Odborná,Historické Dejiny,jasne nechat,,,,,
30,,"F6, F7",Poézia,"Pavel Koyš, Ota Janeček",Vyznanie lásky,,1975,,S,Česko,Beletria,Umenie,Poezia,,jasne nechat,,,,,
31,,"F6, F7",Poézia,"Pavel Koyš, Karol Ondreička",Rosa,,1979,,S,Česko,Beletria,Umenie,Poezia,,jasne nechat,,,,,
32,,D4,Odborná,,Monumentaľnaja živopis,,1979,,R,ZSSR,Fakty,Umenie,Dejiny umenia,Malba a kresba,jasne nechat,,,,,
33,,,,,Umenie reštaurovania,,2000,,S,Slovensko,Fakty,Umenie,Dejiny umenia,Kráľ,jasne nechat,,,,,
34,,D4,Odborná,,Technika kresby,,1986,,Č,Česko,Fakty,Umenie,Odborná,Malba a kresba,jasne nechat,,,,,
35,,,,,Béla Czóbel,,1979,,Maď,Maďarsko,Fakty,Umenie,Monografie,Malba a kresba,jasne nechat,,,,,
36,,B2,Monografia,,Jozef Jankovič,,2008,,S,Slovensko,Fakty,Umenie,Monografie,Vše súčasné,"jasne nechat, podpísaná, bibliofília, exemplár 20/200",,,,,
37,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
38,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
39,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
40,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
41,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
42,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
43,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
44,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
45,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
46,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
47,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
48,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
49,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
50,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
51,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
52,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
53,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
54,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
55,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
56,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
57,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
58,,F0,Časopisy,,Das Kunstwerk,,1964-1973,,N,Nemecko,Fakty,Umenie,Časopis,Vše súčasné,jasne nechat,,,,,
